Date,Open,High,Low,Close,Volume
15-Feb-17,133.45,133.70,132.66,133.44,13226534
14-Feb-17,134.10,134.23,132.55,133.85,14364877
13-Feb-17,134.70,134.70,133.70,134.05,13526221
10-Feb-17,134.10,134.94,133.68,134.19,15061939
9-Feb-17,134.49,134.50,133.31,134.14,16470609
8-Feb-17,132.60,134.44,132.44,134.20,22390556
7-Feb-17,132.24,133.00,131.66,131.84,14596449
6-Feb-17,130.98,132.06,130.30,132.06,17058494
3-Feb-17,131.24,132.85,130.76,130.98,24804890
2-Feb-17,133.22,135.49,130.40,130.84,54366447
1-Feb-17,132.25,133.49,130.68,133.23,50139775
31-Jan-17,130.17,130.66,129.52,130.32,19790484
30-Jan-17,131.58,131.58,129.60,130.98,18956095
27-Jan-17,132.68,132.95,131.08,132.18,19539514
26-Jan-17,131.63,133.14,131.44,132.78,20020141
25-Jan-17,130.00,131.74,129.77,131.48,18777314
24-Jan-17,129.38,129.90,128.38,129.37,15162724
23-Jan-17,127.31,129.25,126.95,128.93,16593563
20-Jan-17,128.10,128.48,126.78,127.04,19097223
19-Jan-17,128.23,128.35,127.45,127.55,12195465
18-Jan-17,128.41,128.43,126.84,127.92,13145852
17-Jan-17,128.04,128.34,127.40,127.87,15294460
13-Jan-17,127.49,129.27,127.37,128.34,24884325
12-Jan-17,125.61,126.73,124.80,126.62,18653914
11-Jan-17,124.35,126.12,124.06,126.09,18356523
10-Jan-17,124.82,125.50,124.28,124.35,17324590
9-Jan-17,123.55,125.43,123.04,124.90,22880360
6-Jan-17,120.98,123.88,120.03,123.41,28545263
5-Jan-17,118.86,120.95,118.32,120.67,19492150
4-Jan-17,117.55,119.66,117.29,118.69,19630932
3-Jan-17,116.03,117.84,115.51,116.86,20663912
30-Dec-16,116.60,116.83,114.77,115.05,18684106
29-Dec-16,117.00,117.53,116.06,116.35,9934873
28-Dec-16,118.19,118.25,116.65,116.92,12087377
27-Dec-16,116.96,118.68,116.86,118.01,12051481
23-Dec-16,117.00,117.56,116.30,117.27,10889985
22-Dec-16,118.86,118.99,116.93,117.40,16258587
21-Dec-16,118.92,119.20,118.48,119.04,10767646
20-Dec-16,119.50,119.77,118.80,119.09,13684402
19-Dec-16,119.85,120.36,118.51,119.24,15918146
16-Dec-16,120.90,121.50,119.27,119.87,25324299
15-Dec-16,120.08,122.50,119.63,120.57,20139568
14-Dec-16,120.00,121.69,118.85,120.21,25913095
13-Dec-16,117.86,121.52,117.61,120.31,29768028
12-Dec-16,119.22,119.24,117.65,117.77,17805527
9-Dec-16,119.22,119.94,118.95,119.68,17464736
8-Dec-16,117.98,119.50,117.64,118.91,22442756
7-Dec-16,117.00,117.95,116.57,117.95,21913658
6-Dec-16,117.69,117.80,116.33,117.31,19131202
5-Dec-16,115.95,117.57,115.07,117.43,20201528
2-Dec-16,115.11,116.48,114.30,115.40,25070364
1-Dec-16,118.38,118.45,114.00,115.10,43276994
